topic_id,rank,word,weight
0,1,taiwan,0.46002492
0,2,tension,0.16884476
0,3,escalate,0.08969119
0,4,remark,0.07344721
0,5,xi,0.061589826
0,6,war,0.051687848
0,7,beijing,0.047476992
0,8,takaichi,0.039147556
0,9,clash,0.003914393
0,10,warn,0.0014757478
0,11,jet,0.0009874844
0,12,island,0.00055929314
0,13,chinese,0.00033998876
0,14,japanese,0.00021194213
0,15,tokyo,0.00017680053
0,16,radar,0.00010209137
0,17,lock,0.000101657475
0,18,pm,5.5546683e-05
0,19,wion,5.5212793e-05
0,20,missile,5.5011675e-05
1,1,tension,0.2421885
1,2,pm,0.2137398
1,3,chinese,0.13292795
1,4,takaichi,0.111547306
1,5,japanese,0.07037533
1,6,wion,0.06267489
1,7,remark,0.05155974
1,8,warn,0.04649871
1,9,taiwan,0.03331066
1,10,escalate,0.029599313
1,11,near,0.0023451168
1,12,war,0.00092853286
1,13,jet,0.00082176836
1,14,radar,0.00035709253
1,15,lock,0.00026868618
1,16,beijing,0.0002419394
1,17,xi,0.00018902078
1,18,tokyo,0.00016752652
1,19,clash,8.6126136e-05
1,20,missile,8.612575e-05
2,1,jet,0.1899347
2,2,radar,0.1585736
2,3,lock,0.15817845
2,4,tokyo,0.1453919
2,5,near,0.08187704
2,6,beijing,0.07145211
2,7,tension,0.05141279
2,8,japanese,0.040578444
2,9,taiwan,0.031459346
2,10,war,0.030736957
2,11,missile,0.021700256
2,12,warn,0.013509128
2,13,wion,0.0018224837
2,14,xi,0.0012092222
2,15,clash,0.0009686537
2,16,escalate,0.00043103777
2,17,island,0.00020337445
2,18,pm,0.00018879453
2,19,chinese,0.00018571127
2,20,takaichi,9.486039e-05
3,1,taiwan,0.26704144
3,2,takaichi,0.217009
3,3,warn,0.09785763
3,4,missile,0.09697671
3,5,xi,0.08818466
3,6,near,0.08137518
3,7,wion,0.051499017
3,8,war,0.042331733
3,9,island,0.0256643
3,10,tension,0.013007918
3,11,tokyo,0.011427365
3,12,pm,0.0027656544
3,13,jet,0.001985818
3,14,lock,0.00062624953
3,15,remark,0.00061249215
3,16,chinese,0.00038692646
3,17,beijing,0.00035835052
3,18,radar,0.00035276846
3,19,clash,0.00024474438
3,20,japanese,0.00021799956
4,1,clash,0.24341835
4,2,island,0.23084383
4,3,war,0.2089786
4,4,tension,0.0868358
4,5,chinese,0.0749529
4,6,near,0.047650352
4,7,wion,0.047125477
4,8,japanese,0.044716246
4,9,escalate,0.009573606
4,10,lock,0.0011923899
4,11,jet,0.0011594713
4,12,radar,0.0009358873
4,13,missile,0.0005997136
4,14,xi,0.00051768695
4,15,takaichi,0.00038881498
4,16,beijing,0.00028810475
4,17,taiwan,0.00020059936
4,18,pm,0.00015699996
4,19,warn,0.00015578163
4,20,remark,0.00015495387
